Week Start Date,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
13-01-2020,1,0,0,0,1,0,0,0
20-01-2020,9,0,0,1,11,0,0,2
27-01-2020,5,0,0,5,17,0,0,8
03-02-2020,7,0,0,10,25,0,0,18
10-02-2020,6,0,0,9,32,0,0,28
17-02-2020,16,0,0,10,59,0,0,38
24-02-2020,74,9,0,6612,154,9,0,6655
02-03-2020,716,25,0,6388,771,40,0,13813
09-03-2020,4988,49,0,46605,5764,82,0,60418
16-03-2020,34099,401,0,276140,39862,483,0,336600
23-03-2020,111122,2361,322,632133,150984,2842,544,968735
30-03-2020,191354,7774,1472,969432,342338,10616,2397,1938168
06-04-2020,218008,13264,6705,1095860,560346,23880,10176,3034029
13-04-2020,197291,14496,13716,1109207,757637,38376,27142,4143237
20-04-2020,212060,13056,19047,1585343,969697,51432,61101,5728580
27-04-2020,191928,12770,24355,1737945,1161625,64202,96567,7466526
04-05-2020,170872,12408,34159,2046759,1332497,76610,131601,9513287
11-05-2020,158441,9619,34424,2597534,1490938,86229,166025,12110821
18-05-2020,154960,7968,39518,3001501,1645898,94197,251261,15112323
25-05-2020,145875,6554,47591,3051317,1791773,100751,376960,18163643
01-06-2020,145374,5508,49414,3482914,1937147,106259,433117,21646558
08-06-2020,146987,5173,47480,3476922,2084134,111432,480597,25123483
15-06-2020,184474,4134,51280,3845679,2268608,115566,531877,28969162
22-06-2020,268489,3769,51075,4565426,2537097,119335,582952,33534588
29-06-2020,345340,3426,69152,4972155,2882437,122761,691091,38506743
06-07-2020,405346,4895,86381,5557760,3287783,127656,777472,44064504
13-07-2020,461124,5222,105439,6054199,3748907,132878,882911,50118705
20-07-2020,461135,6340,146842,6137162,4210042,139218,1029753,56255868
27-07-2020,427829,7951,148680,5986089,4637871,147169,1178433,62241958
03-08-2020,365660,7387,164270,5653897,5003531,154556,1342703,67895856
10-08-2020,359529,7507,154438,6021565,5363060,162063,1497141,73917424
17-08-2020,297203,6855,146045,5716484,5660263,168918,1643186,79633908
24-08-2020,288861,6417,137807,5795140,5949124,175335,1780993,85429050
31-08-2020,278756,5883,144344,6007900,6227880,181218,1925337,91436950
07-09-2020,239631,5047,115327,5543504,6467511,186265,2040664,96980455
14-09-2020,280375,5487,120290,6751799,6747886,191752,2160954,103732257
21-09-2020,308570,5254,160106,6922811,7056456,197006,2321060,110655069
28-09-2020,301324,4860,130365,7335280,7357780,201866,2451425,117990352
05-10-2020,344547,4935,125184,7874096,7702327,206801,2593085,125864449
12-10-2020,385136,4810,135626,7976406,8087463,211611,2728711,133840855
19-10-2020,484453,5680,166087,8536971,8571916,217291,2894798,142377828
26-10-2020,636056,5737,184979,8931480,9207972,223028,3069977,151309308
02-11-2020,803264,7123,217566,9835929,10011236,230151,3275585,161145238
09-11-2020,1050512,8003,266931,10919574,11061748,238154,3542516,172064814
16-11-2020,1203780,10466,301703,12595034,12265528,248620,3842826,184659849
23-11-2020,1127257,10100,484333,11812825,13392785,258720,4321387,196472676
30-11-2020,1383427,15388,491212,12359790,14776212,274108,4812599,208832467
07-12-2020,1488601,17039,601341,12809756,16264813,291147,5395089,221642224
14-12-2020,1507244,18469,567788,13418678,17772057,309616,5962877,235060903
21-12-2020,1274666,15371,503042,12452619,19046723,324987,6465919,247513523
28-12-2020,1491601,18455,566339,10944730,20538324,343442,7032258,258458254
04-01-2021,1714127,22427,556805,13098962,22252451,365869,7589063,271557217
11-01-2021,1515267,23274,528755,13804210,23767718,389143,8117818,285361428
18-01-2021,1185176,21372,525473,12902414,24952894,410515,8643291,298263844
25-01-2021,1026227,21963,519283,12702975,25979121,432478,9162574,310966821
01-02-2021,820731,21884,487262,11177146,26799852,454362,9649836,322143967
08-02-2021,632066,21657,429662,11093675,27431918,476019,10079498,333237644
15-02-2021,450854,13256,330776,9189690,27882772,489275,10410274,342427336
22-02-2021,470888,14076,307736,10503039,28353660,503351,10718010,352930376
01-03-2021,405346,11866,215985,9804965,28759006,515217,10933995,362735341
08-03-2021,422015,9841,741,51345,29457291,534566,30364,2125134
15-03-2021,379925,7452,495,50378,29837216,542018,30859,2175513
22-03-2021,440459,6935,477,52113,30277675,548953,31336,2227628
29-03-2021,447453,5701,589,50979,30725128,554654,31925,2278608
05-04-2021,486379,6976,543,52480,31211507,561630,32468,2331089
12-04-2021,472353,5248,523,51840,31683860,566878,32991,2382931
19-04-2021,407687,4957,480,49808,32091547,571835,33471,2432740
26-04-2021,344276,4889,417,47023,32435740,576724,33888,2479765
03-05-2021,286655,4635,329,44284,32722395,581359,34217,2524051
10-05-2021,231164,4267,186,38564,32953559,585626,34403,2562617
17-05-2021,176170,3930,153,38167,33129729,589556,34556,2600786
24-05-2021,139498,4658,-743,30982,33269227,594214,34649,2631770
31-05-2021,58063,2626,942,28676,33334708,596840,34755,2660446
07-06-2021,101933,2526,88,26242,33429202,599366,34843,2686690
14-06-2021,77906,2106,66,21381,33507124,601472,34909,2708071
21-06-2021,83215,2147,26,25133,33590334,603619,34935,2733208
28-06-2021,134182,1501,26,24355,33729905,605120,34961,2757564
05-07-2021,165229,1584,24,25478,33889684,606704,34985,2783042
12-07-2021,226432,1919,0,29220,34116046,608623,34985,2812263
19-07-2021,365163,1898,0,36499,34481163,610521,34985,2848766
26-07-2021,558631,2414,0,42933,35039661,612935,34985,2891701
02-08-2021,772571,3629,0,48477,35812066,616564,34985,2940179
09-08-2021,916363,4653,0,56069,36728339,621217,34985,2996250
16-08-2021,1047565,7074,0,66659,37775924,628291,34985,3062911
23-08-2021,1098514,9068,0,75213,38874297,637359,34985,3138124
30-08-2021,1129487,10943,0,81031,40003830,648302,34985,3219156
06-09-2021,1022688,11631,0,79397,41026364,659933,34985,3298554
13-09-2021,1038399,14140,0,82146,42064856,674073,34985,3380700
20-09-2021,840722,14251,0,75640,42905723,688324,34985,3456343
27-09-2021,746664,13293,0,66010,43652494,701617,34985,3522353
04-10-2021,676348,12519,0,70998,44328866,714136,34985,3593352
11-10-2021,584642,10725,0,67470,44913615,724861,34985,3660823
18-10-2021,507459,11576,0,64354,45421112,736437,34985,3725180
25-10-2021,510484,9445,0,58934,45931657,745882,34985,3784115
01-11-2021,515022,8523,0,58807,46446658,754405,34985,3842923
08-11-2021,587572,7891,0,51254,47034204,762296,34985,3894178
15-11-2021,655522,9916,0,50468,47689407,772212,34985,3944646
22-11-2021,502616,5576,0,39595,48192342,777788,34985,3984243
29-11-2021,849875,9563,0,47941,49041651,787351,34985,4032186
06-12-2021,837105,9005,0,42006,49877783,796538,34985,4056945
13-12-2021,932649,8964,0,36568,50807359,805502,34985,3655992
20-12-2021,1439094,10034,0,28916,52241016,815536,34985,3684908
27-12-2021,2887557,9460,0,37158,55135532,824996,34985,3722066
03-01-2022,5036233,11898,0,61730,60165527,836894,34985,3783796
10-01-2022,5648074,13794,0,56400,65816003,850688,34985,3840196
17-01-2022,4849622,15133,0,54498,70668111,865821,34985,3894694
24-01-2022,3656770,17674,0,44888,74326231,883495,34985,3939582
31-01-2022,2089957,18046,0,33271,76415561,901541,34985,3972853
07-02-2022,1209394,16966,-900,24611,77625107,918507,34985,3997464
14-02-2022,748061,15514,900,20165,78373274,934021,349985,4017629
21-02-2022,456386,12980,0,15674,78829791,947001,34985,4033303
28-02-2022,333722,10523,0,17356,79163692,957524,34985,4050659
07-03-2022,244471,8923,0,14237,79408163,966447,0,4064896
14-03-2022,229113,3792,0,14163,79637276,970239,0,4079059
21-03-2022,209999,5321,0,14158,79847275,975560,0,4093217
28-03-2022,199915,4567,0,12614,80047190,980127,0,4105831
04-04-2022,223113,3759,0,1782,80270303,983886,0,4107613
11-04-2022,260334,3414,0,0,80530637,987300,0,4107613
18-04-2022,331520,2472,0,1,80862157,989772,0,4107614
25-04-2022,406818,2322,0,0,81268975,992094,0,4107614
02-05-2022,497727,4254,0,0,81766702,996348,0,4107614
09-05-2022,642345,2058,0,0,82409047,998406,0,4107614
16-05-2022,773056,2208,0,0,83182103,1000614,0,4107614
23-05-2022,738724,2590,0,0,83920827,1003204,0,4107614
30-05-2022,747276,1988,0,0,84668103,1005192,0,4107614
06-06-2022,765693,2696,0,0,85433796,1007888,0,4107614
13-06-2022,682671,2050,0,0,86116467,1009938,0,4107614
20-06-2022,772187,2598,0,0,86888654,1012536,0,4107614
27-06-2022,745038,2514,0,0,87633692,1015050,0,4107614
04-07-2022,794828,2290,0,0,88428520,1017340,0,4107614
11-07-2022,907182,2975,0,0,89335702,1020315,0,4107614
18-07-2022,900377,3061,0,0,90236079,1023376,0,4107614
25-07-2022,869556,2988,0,0,91105635,1026364,0,4107614
01-08-2022,818412,3478,0,0,91924047,1029842,0,4107614
08-08-2022,724565,3379,0,0,92648612,1033221,0,4107614
15-08-2022,661013,3161,0,0,93309625,1036382,0,4107614
22-08-2022,630010,3331,0,0,93939635,1039713,0,4107614
29-08-2022,593428,3696,0,0,94533063,1043409,0,4107614
05-09-2022,465678,2762,0,0,95017523,1046164,0,4107614
12-09-2022,359047,2832,0,0,95376570,1048996,0,0
26-12-2022,-31136,0,0,0,103487,0,34985,0
